Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
2018,,,,,,,,,Exploring Large Healthcare Databases with Geographic Information Systems to Inform Medical Transport Health Policy,"- https://scalar.case.edu/freedman-fellows/reimer-2019-2020
- https://thedaily.case.edu/announcing-the-2019-20-freedman-faculty-fellows/

Approximately 1.6 million patients undergo interhospital transfer (IHT) each year in the United States. Of those IHT's, approximately 550,000 are conducted by air1 (i.e., helicopters or jets), or roughly one every 60 seconds, at an estimated annual cost of $6 billion. 2 Contrary to common belieft, patients who undergo IHT experience worse outcomes, which include double the length of stay, twice the cost, and higher mortality than non-transferred patients. 3,4 Our preliminary work suggests that transfer by air has little to no impact on morbidity or mortality. THe industry has been entrenched in these transport practices for decades, requiring broader approaches such as changing reimbursement practices that may ultimately influence changes in practice that will reduce costs while maintaining patient safety and outcomes. 

The goal of this exploratory project is to pair existing state and national databases of patient hospitalizations and associated medical transfers with geographical information systems (GIS) mapping technology to develop a robust analysis tool to support health policy efforts. ",,,,,,,
2019,,,,,,,,,Digitizing the Occupy Movement Archive to Create Research and Teaching Resources,"- https://scalar.case.edu/freedman-fellows/hurwitz-2019-2020
- https://thedaily.case.edu/announcing-the-2019-20-freedman-faculty-fellows/

The project includes scanning and organizing up to 2,500 paper and electronic documents, implementing a metadata tagging system to organize the documents into a searchable database, making the archive publicly availabe on the Open Science Framework (OSF), and running network analyses of the data contained in the archive. Second, the project will generate two teaching, learning and research resources based on the archive : teaching activites for CWRU Introduction to Scoiology courses and a pilot Open Educational Resrouce (OER). Third, the project will present a scholarly paper about describing the archive and how to research and teach using the archive. ",,,,,,,
2019,,,,,,,,,19th at 100 : commemorating the Suffrage Struffle and its Legacies in Cleveland,"- https://scalar.case.edu/freedman-fellows/rabinovitch-fox-2019-2020
- https://thedaily.case.edu/5-question-with-einav-rabinovitch-fox-instructor-marking-19th-amendments-centennial-year/
- https://thedaily.case.edu/announcing-the-2019-20-freedman-faculty-fellows/

19th at 100 is a curatorial project that aims to commemorate this important event, paying attention specially to the local angle of how women fought for their rights around Cleveland and Northeast Ohio. By producing a physical exhibition that will be complemented with a digital exhibit website and an educational database, 19th at 100 will use digital tools to showcase the suffrage campaign and its legacies in Cleveland. 

This project is imagined as a collaborative effort between myself and students that would be part of a history course to be taught in Spring 202. Through such experience of curating, building, and maintaining the exhibition's website and data base, 19th at 100 would make the history of the suffrage struggle available to students, academics, and other stakeholders in the Cleveland community. ",,,,,,,
2019,,,,,,,,,The Language of Reflective Essays : What Writing Analytics Tells Us About Student Learning,"- https://scalar.case.edu/freedman-fellows/householder-schaffer-2019-2020
- https://thedaily.case.edu/announcing-the-2019-20-freedman-faculty-fellows/

This projects uses machine-ehanced textual and content analysis to study 2000 reflective essays submitted by CWRU students as part of their SAGES Writing Portfolios. The project's aims are (1) to study how students in the SAGES Program describe their writing, themselves as writers, and their experiences as learners; (2) to collect data to enhance writing instruction and assessment in the SAGES Program; and (3) to demonstrate how collaborative, interdisciplinary work in the digital humanities can enhance programmatic-level writing assessment. ",,,,,,,
2019,,,,,,,,,Told Around Shoes,"- https://scalar.case.edu/freedman-fellows/sentilles-2019-2020
- https://thedaily.case.edu/announcing-the-2019-20-freedman-faculty-fellows/

ToldAroundShoes.com is a website desifned to invite educators and the public to volunteer personal stories (750 - 2000 words) from the lives of women and firls in the United States. While the stories do not need to be inspired by shoes, each story must be accompanied by either a picture of the person wearing shoes or a pair of shoes that relates to the time period. The stories will be curated by me and catalogued so that they may be easily accessed and used by other scholars. ",,,,,,,
2020,,,,,,,,,Increasing Utility of the Cleveland Food and Tobacco Retail Database,"- https://scalar.case.edu/freedman-fellows/borawski-2020-2021
- https://thedaily.case.edu/faculty-members-named-2020-21-freedman-faculty-fellows/

Each summer, from 2012-2019, the PRCHN has employed a small army of student to conduct in-store audits in nearly 2,000 retail outlets across the city that sell food and/or tobacco, including supermarkets, large and small grocers, corner stores and convenience stores, gas stations, restaurants, bars and fast food outlets. This data has been disseminated by PRCHN researchers through limited maps and presentations, as well as being linked with participants from other research studies interested in proximity of healthy/unhealthy food and tobacco products. However, in its current form, it's not easily shared and requires more technical assistance than the PRCHN can often provide. MOreover, to be more useful to community and public health partners, more informative food environment indices need to be developed. THus, we seek to work with the Freedman Center to make the database more available to our community partners and research collaborators, in a form that is informative, accessible, and user friendly. Our ultimate deliverable is a clean, longitudinal database, available in different formats that can be accessed for map layers, geospatial analyses, and analytic projects, which will be made available through a platform easily accessible by community and public health partners and fellow researchers. ",,,,,,,
2020,,,,,,,,,Digital Stories of Cleveland Synagogue Dispersion : Moving Pieces of Congregational Life,"- https://scalar.case.edu/freedman-fellows/cooper-2020-2021
- https://thedaily.case.edu/faculty-members-named-2020-21-freedman-faculty-fellows/

This project implements database design and GIS software to offer a digital study of the movement of Cleveland's Jewish congregations over space and time (from when Jewish immigrants first arrvied in the area in the mid 19th century until today). In tandem, the project uses Freedman Center hardware and software to provide a visual study of trends in preserving and re-locating synagogues' sacred bits (such as stained glass windows, Torah arks, and memorial palques), as the congregations have moved. Based on preliminary research conducted for my book, ""Preserving and Disposing of the Sacred : America's Jewish Congregations"" (under contract with Penn State University Press) I suggest that congregations that congregations which moved out of urban centers into the suburbs following World War II where inspired by modernist aesthetic and optimism about Judaism's place in the American landscape. This pilot sutdy is situated in the Cleveland metropolitan region, and is desifned to develop best-practices for colleticing, organizing and comparing data on a national scale. Celveland offers a wonderful place to beign for many reasons, includign the fact that it is close to home and easy to access (particularly importnat in the midst of this COVID era). In addition (1) the number of existing synagogue congregations in the metropolitan area (approximately 20) offers a manageable group to study over the course of a year (2) greater-Cleveland's Jewish population is highly compact, with almost all current in-use synagogue buildings occupying a region of only a few square miles, making comparison easy to manage and (3) the history of Cleveland's synagogues has beend well-studied and documentated in secondary sources, and is easy to access",,,,,,,
2020,,,,,,,,,COVID - 19 and Derogation of Human Rights : A Digital Map,"- https://thedaily.case.edu/freedman-fellow-associate-professor-brian-gran-to-discuss-child-trafficking-in-upcoming-lecture/

This project will apply digital tools and methods to model, study, and understand socio-legal responses to the spread of COVID-19 - in particular, emergency measures that derogate from states' human rights commitments. This moment is a rare opportunity to study human rights derogation in response to public emergencies across multiple societies over the sma time period. In response to COVID-19, over twenty national governments have instituted de jure derogations, and over 100 national governments have instituted de facto derogation. These circumstances demonstrated the neccessity of developing new approaches to studying derogation of human rights,. National governments sometimes suspend human rights when an emergency doe snot exist or the emergency is long over. Derogation domino effects raise concerns for durability and legitimavy of democracy and democratic accountability. ",,,,,,,
2020,,,,,,,,,Immersive VR in Training and Performance,"- https://scalar.case.edu/freedman-fellows/inouye-2020-2021
- https://thedaily.case.edu/faculty-members-named-2020-21-freedman-faculty-fellows/

The recent challenges of teaching stage combat and theatrical movement online has created a scramble to find answers for long-distance solo training in physically interactive disciplines. What I'd like to investigate is the potential for VR training content, viwed through affordable headsets. I believe this could be a better delivery medium for instruction in things like theatrical swordplay, creating a better kinesthetic response in viewers, and eliminating the need to mentally adjust for perspective or angle. Since targets and attacks are all done relative to one's scene partner, a first-person perspective could be invaluable, and the ability to look around and check the position of feet, hips, blades etc. will help resolve some of the queations students might otherwise have. ",,,,,,,
2020,,,,,,,,,Being Difficult,"- https://thedaily.case.edu/faculty-members-named-2020-21-freedman-faculty-fellows/

It is not always easy to be difficult. Behavioral experiments in cognitive science suggest that there are two big, enduring roadblocks to our efforts to be ""cooperatively uncooperative,"" cooperating with others as much as, but no more than, we would like. How do people navigate these complex challenges in paractice? How do these challenges shape our interactions, relationships, and creative endeavors? People who want to be difficult in this speacial way (which is, surprixingly often, all of us) need strategies to circumvent elements to their cognition that work agist them. We look at these strategies as performances of applied cognitive science in the wild. We will collect case studies of people who make a professional avocational practice of navigating these special projects, and share them with the public as a series of podcast episodes and transcripts of the complete interviews as well as of the podcast epiodies. ",,,,,,,
2021,,,,,,,,,Augmented Reality in Movement Learning,,,,,,,,
2021,,,,,,,,,Enhancing Teacher Communication Through Objective Facial Affect and Gaze Analysis,"The art and science of teaching music relies upon the ability of educators to emote both expressivity and intent. Given the nature of muscial performance, direct verbal instractuion is often not possible and the enducator must rely upon facial affect, jesture, and gaze to elict the intended behavioral and musicla responses. However, many future teachers struggle to reconcile the disparity between intended and displayed nonverbal signals (Scherber, Darrow, Veronee, in press).. To combat this disparity, young educators are often asked to review video recordings of their teaching demonstrations to identify potential issues. However, without objective gudiance or detailed analysis of affect, jesture, and gaze, these future teachers may struggle to understand how to imporvet their skillset. In this tudy, I plan to supplement traditional instruction with Noldus Face Reader software. Via an algorithm (Cootes and Taylor, 2000), FaceReader analyzes 500 key points in facial expressions to determine affect classification (e.g. happy vs. sad), valence (specturm of positive to negative), and arousal (e.g. active vs. inactive). This obejctive and highly-specific feedback provided by the software may assist students to better understand content and more quickly improve their skills. As usic teachers with strong nonverbal communication have been found to be more effective (Johnson, Darrow, & Eason, 2008), this remains important element of  teacher education curriculum. As such, I believe future music educators who recieve consistent obejctive and specific feedback via FaceReader will be better prepared for their future career. ",,,,,,,
2021,,,,,,,,,Cleveland Swings : The Rise and Fall of Jaxx At University Circle 1950-1970,"- https://scalar.case.edu/freedman-fellows/blake-2021-2022
- https://thedaily.case.edu/2022-23-freedman-faculty-fellows-announced/
- https://thedaily.case.edu/2021-22-freedman-faculty-fellows-selected-for-their-digital-scholarship/

Although it is widely known that ""Cleveland rocks,"" the aim of this project is to show that ""Cleveland swings."" The rich history of jaxx in the city is not widely understood, but it is extensive. THroughout my ethnographic research of the Cleveland jaxx scene, I frequently found that today's jaxx musicians look upon Cleveland's Jaxx past with nostalgia, a golden age of music in the city. Furthermore, during my Freedman Fellow project ""Right Before Rock,"" I documented a list of more than 5- venues where jazz was performed in the city. In the project, I will map the history of Cleveland's Jazz venues - with a particular focus in the Univeristy Circle area - using ArcGIS. Referred to as Cleveland's ""second downtown,"" the area boasted numerous jaxx clubs beginning around mid-centur: the alhambra, The Twone Casino, The Jaxx Temple, Club 100, Cotton Club and numerous tohers. Cleveland trumpet palyer Kenny Davis once described jazz in the Univerisy Circle area as ""a smaller version of NewYork's 52nd Street."" By mapping venues, this project wekks to illuminate a lost musical landscape. It also seeks to show how the jazz scene reached its peak in the 1950s and declined into the late 1960s. Additonally, the project seeks to digitize newpaper articles and other documentation that points to the jazz cultural heritage of the city, as well as on the campus of CWRU. In fact, it will feature a 1963 campus map printed in the CWRU paper (The Case Tech, Volume LVIV, Number 1) that includes The Jazz Temple. Beyond this focus on the landscape of the scne,e I also intend to undertake interviews with two legendary Cleveland Jazz musicians who emerged from this scene: Grammy award-winner Joe Lavano and legednary organist Eddie Baccus Sr. By discussing the past with these two musicians, I will add a textured contextual understanding to Cleveland's shifting musical landscape. ",,,,,,,
2021,,,,,,,,,The Gandhian Social Network,"- https://scalar.case.edu/freedman-fellows/david-busch-2020-2021
- https://thedaily.case.edu/freedman-center-for-digital-scholarship-names-digital-scholarship-grants-honorees/
- https://thedaily.case.edu/2021-22-freedman-faculty-fellows-selected-for-their-digital-scholarship/

Who was in Ganhi's ""social network"" at different stages in his political career? What might his shifting social networks reveal about his evolving politics? This porject quantifies and categorizes Ganhi's various ""instances of communication"" to network/visualize Gandhi's social networks. In doing so, I hope to critically analyze the racial, gender, national and class character of his networks while also considering the key thinkers (ideas) of his network. As part of this updated focus, I will also continue to focus on my initial proposal: building and interactive network resource on Gandhi that gives scholars a visual way to expolre how activist ideas spread and to see what has - or hasn't - been studied in the extant historiography on Gandhi, India, and nonviolence. ",,,,,,,
2022,,,,,,,,,"Jazz in Akron : The Hidden History of Howard Street, 1930 - 1960","- https://thedaily.case.edu/freedman-center-for-digital-scholarship-names-digital-scholarship-grants-honorees/

Proposed to creat and present an ArcGIS Storymap to showcase the history of jazz in African American Akron in general - and Howard Street specificall. George will collaborate with Theron Brown, the founder of the Rubber City Jazz Festival who would be interested in displaying the eventual digitial map at the jazz festival. George is requesting htis funding to support the project. These funds would be used to hire research assistants to project for data management. Students will also be trained to use ArcGIS. ",,,,,,,
2022,,,,,,,,,PRETEND Program Expansion Project,"- https://thedaily.case.edu/2022-23-freedman-faculty-fellows-announced/

This project focuses on developing and supporting the existing play-base intervention system (PRETEND) for children with developmental disorders. ""The PRETEND Program is a remote, play-nased intervention that sekks to improve social cognition in children with PWS."" The intervention utilizes web-based communication systems, such as Zoom, which requires an interventationist at every sessions. The proposal is to work with the Digital Scholarhsip Team to develop a digital platform for an expansion project that aims to train other clinicians to successfully deliver the PRETEND intervention program. Funding is requirest to support webiste software, domain purchase, and incentivies for trainees and participants.",,,,,,,
2022,,,,,,,,,Motion Capture Scene work for Actors,"- https://thedaily.case.edu/2022-23-freedman-faculty-fellows-announced/
- https://thedaily.case.edu/2021-22-freedman-faculty-fellows-selected-for-their-digital-scholarship/

Proposed to build upon previous work bringing motion capture into the actor movement classroom (assisted by Freedman Fellowship), which was popular with students and has inspired them to be able to do more with the technology. Building on this work will give students the change to ""perform paired scene work using digital character avatars, done live using motion and performance capture, within a virtual environemnt, using Unity or Unreal Engine. This can be done real-time, where they can see their own digitial avatars move as they move, ",,,,,,,
2022,,,,,,,,,The History and Legacy of the ERA : Curating a Past and Future ,"- https://thedaily.case.edu/2022-23-freedman-faculty-fellows-announced/

Proposed to engage students in a curatorial project focused on the ERA (Equal Rights Amendment) that ""aims to highlight the complex history of this struggle and to conect it to contemporary discussions. This is ""an educational project with both an impact on the University's community (through students' work and the physical exhibition) and a broader outreach (though the website that will offer a visual and interactive platform to engage with the history of this very timely topic. ",,,,,,,
2023,,,,,,,,,Bridiging the misconceptions of Chinese international studentds and the reality: a documentary,,,,,,,,
2023,,,,,,,,,Understanding the role of gesture in team interaction when learning three dimensional symmetry with mixed reality (Holographs),,,,,,,,
2023,,,,,,,,,,,,,,,,,
2023,,,,,,,,,Assessment of Manga Readability,,,,,,,,
2023,,,,,,,,,Community partenered collaborative co-development of digital health resources to support the health and well-being of sexual and generder diverse individuals,,,,,,,,
2023,,,,,,,,,"Covering Lead Poisoning in the News: From the Silent Epidemic to Data-Driven Visualization in Cleveland, Ohio",,,,,,,,
2023,,,,,,,,,SEEN Kids: SPatial Epidemiology for Excellence in Neurodiverse Kids,,,,,,,,
